"X";"Geo.mean";"Volatility";"maxDD";"maxTuW";"VaR";"CVaR"
"SPY";0.104903779565224;2.47860100169859;55.1465881449238;274;-3.70162283931737;-5.99290421858287
"MDY";0.139547004373108;2.92589700198729;54.6070219212262;183;-4.38799009736798;-7.06151190471861
"EWJ";-0.0262005687503675;2.6996706633399;53.990914990266;453;-4.028553573798;-6.30351406635506
"EWH";0.112672419604021;3.37311441869068;61.7634768073548;373;-4.78644679169533;-7.81757113878334
"EWG";0.0503810355404255;3.80020647234068;64.5259095920618;378;-6.25996720097771;-9.33462756385043
"EWW";0.0865004877037112;4.07339742730376;65.3660811441007;263;-5.52343474638726;-9.25599250383414
"EWA";0.00981780721340808;3.91686602577943;68.9426678190723;378;-6.01375002095994;-9.24322597098108
"EWS";0.0823147458232976;3.29921460422531;65.3748411689962;378;-4.70186125568776;-7.47166993737315
"EWM";0.12382355375431;2.82857461651422;52.03426124197;140;-4.59721680829499;-6.60858971322149
"EWI";-0.138991936872712;4.28053355500667;73.8927097661623;401;-7.50605416139625;-9.84497625544985
"EWQ";-0.0210348400577209;3.83305380610749;62.7976936575583;378;-6.35505382815112;-9.1448656233398
"EWD";0.0514635175905109;4.42006786755035;69.8701298701299;393;-7.16033009136457;-9.99815503277438
"EWN";0.026258527010703;3.58768782112292;66.5546731826512;378;-6.04211921641236;-8.45334194728097
"EWK";-0.052810251677371;3.69343120430456;75.720309205903;401;-6.38770146607138;-9.20681465514897
"XLF";-0.0695691624743255;4.17015937875012;81.6170661048196;399;-5.99440012429157;-10.7583124485503
"XLK";0.149383851109142;2.62357420116622;51.9366197183099;215;-4.13755526088754;-6.24519665293044
"XLE";0.0789482688219767;3.65699085607299;56.3667425968109;276;-5.44567627494457;-8.64858019184913
"XLP";0.15967324313666;1.72110994880508;32.8454731109598;155;-2.36796608024861;-4.12427765522594
"XLU";0.0750533378592433;2.22558462517697;47.6363636363636;344;-3.27097072499382;-5.44798286598284
"XLB";0.095066011367928;3.47548387796177;59.9779492833517;282;-5.09944787167506;-8.34021631013844
"EWY";0.0418634606520696;4.54983477330093;72.3515248796148;378;-6.17679257138599;-10.6656510464401
"IWB";0.111515305848875;2.51755824718447;55.1687639656592;270;-3.81260760293985;-6.00274346123399
